Site	Street Number	Prefix	Street Name	Suffix	Site City	Site State	Site Zip5	Initial Meter Set Date
875079281	5409	E	MILTON	DR	CAVE CREEK	ARIZONA	85331	11/4/2010 12:00:00 AM
875312387	7415	E	PRINCESS	DR	SCOTTSDALE	ARIZONA	85255	2/2/2012 12:00:00 AM
875342381	37936	N	29	AVE	PHOENIX	ARIZONA	85086	1/13/2012 12:00:00 AM
875411386	1900	W	30	ST	YUMA	ARIZONA	85364	11/9/2010 12:00:00 AM
875558289	13896	S	180	AVE	GOODYEAR	ARIZONA	85338	11/9/2010 12:00:00 AM
875608287	1410	S	JESSICA	LN	TEMPE	ARIZONA	85281	11/4/2011 12:00:00 AM
875660382	842	E	DEL RIO	ST	CHANDLER	ARIZONA	85225	5/10/2011 12:00:00 AM
875707288	34720	N	23	DR	PHOENIX	ARIZONA	85086	4/4/2012 12:00:00 AM
876142388	1140	W	COX	AVE	FLAGSTAFF	ARIZONA	86001	12/28/2011 12:00:00 AM
876181387	 	 	MP 912.82	 	CASA GRANDE	ARIZONA	85193	5/11/2011 12:00:00 AM
876308281	29938	W	TAYLOR	ST	BUCKEYE	ARIZONA	85396	5/6/2011 12:00:00 AM
876332380	32204	N	SCOTTSDALE	RD	SCOTTSDALE	ARIZONA	85266	11/17/2011 12:00:00 AM
876391385	1604	W	TONTO	ST	PHOENIX	ARIZONA	85007	10/24/2011 12:00:00 AM
876702389	2323	W	PARKSIDE	LN	PHOENIX	ARIZONA	85027	7/14/2011 12:00:00 AM
876760386	26125	W	VISTA NORTH	DR	BUCKEYE	ARIZONA	85396	10/21/2011 12:00:00 AM
876822387	7527	E	WHISPER ROCK	TRL	SCOTTSDALE	ARIZONA	85266	11/15/2011 12:00:00 AM
877097286	16398	W	CORTEZ	ST	SURPRISE	ARIZONA	85388	2/23/2012 12:00:00 AM
877132388	1501	NW	GRAND	AVE	PHOENIX	ARIZONA	85007	10/13/2011 12:00:00 AM
877237281	12233	W	PATRICK	CT	SUN CITY	ARIZONA	85373	11/17/2010 12:00:00 AM
877247284	16114	W	CORONADO	RD	GOODYEAR	ARIZONA	85395	12/1/2011 12:00:00 AM
877337285	16600	W	WASHINGTON	ST	GOODYEAR	ARIZONA	85338	4/20/2011 12:00:00 AM
877362384	615	E	WEBER	DR	TEMPE	ARIZONA	85281	3/13/2012 12:00:00 AM
877717288	9059	W	LAKE PLEASANT	PKWY	PEORIA	ARIZONA	85382	8/3/2011 12:00:00 AM
877861381	431	E	2	AVE	AJO	ARIZONA	85321	2/9/2011 12:00:00 AM
877889287	2350	N	SPENCER	AVE	SAN LUIS	ARIZONA	85349	11/2/2011 12:00:00 AM
