Site	Street Number	Prefix	Street Name	Suffix	Site City	Site State	Site Zip5	Initial Meter Set Date
100380	3933	W	36	PL	YUMA	ARIZONA	85365	6/20/2011 12:00:00 AM
157284	30895	N	119	LN	PEORIA	ARIZONA	85383	11/4/2010 12:00:00 AM
271382	6326	E	QUARTZ MOUNTAIN	RD	PARADISE VALLEY	ARIZONA	85253	3/8/2011 12:00:00 AM
287289	1810	S	162	LN	GOODYEAR	ARIZONA	85338	11/22/2011 12:00:00 AM
391380	1606	W	TONTO	ST	PHOENIX	ARIZONA	85007	10/24/2011 12:00:00 AM
391389	1503	E	YALE	ST	FLAGSTAFF	ARIZONA	86001	5/11/2011 12:00:00 AM
397283	18608	W	MONTEBELLO	AVE	LITCHFIELD PARK	ARIZONA	85340	11/29/2011 12:00:00 AM
528282	3707	E	ZACHARY	DR	PHOENIX	ARIZONA	85050	11/19/2010 12:00:00 AM
768289	34370	S	MINER	RD	RED ROCK	ARIZONA	85145	4/25/2011 12:00:00 AM
830380	1741	N	167	DR	GOODYEAR	ARIZONA	85395	7/28/2011 12:00:00 AM
881382	23402	N	TATUM	 	PHOENIX	ARIZONA	85054	5/10/2011 12:00:00 AM
919280	460	 	CHOCTAW	RDG	HAPPY JACK	ARIZONA	86024	3/11/2011 12:00:00 AM
971383	7757	W	DEER VALLEY	RD	PEORIA	ARIZONA	85382	5/13/2011 12:00:00 AM
1068287	14921	S	182	DR	GOODYEAR	ARIZONA	85338	2/1/2012 12:00:00 AM
1251384	6027	E	JOSHUA TREE	LN	PARADISE VALLEY	ARIZONA	85253	3/7/2012 12:00:00 AM
1339282	2659	S	MOONLIGHT	WAY	YUMA	ARIZONA	85365	11/17/2011 12:00:00 AM
1447285	16208	W	BERKELEY	RD	GOODYEAR	ARIZONA	85395	11/9/2011 12:00:00 AM
1710387	2515	 	14	ST	DOUGLAS	ARIZONA	85607	5/25/2011 12:00:00 AM
1869285	3400	S	AVENUE 7E	 	YUMA	ARIZONA	85365	11/19/2010 12:00:00 AM
1877282	14890	W	GEORGIA	DR	SURPRISE	ARIZONA	85379	3/16/2012 12:00:00 AM
2041389	7392	E	BALAO	DR	SCOTTSDALE	ARIZONA	85266	1/20/2012 12:00:00 AM
2132385	4570	N	CENTRAL	AVE	PHOENIX	ARIZONA	85012	10/5/2011 12:00:00 AM
2251381	10155	E	VIA LINDA	 	SCOTTSDALE	ARIZONA	85258	11/4/2010 12:00:00 AM
2412381	121	W	6	ST	TEMPE	ARIZONA	85281	8/11/2011 12:00:00 AM
2470381	882	E	DEL RIO	ST	CHANDLER	ARIZONA	85225	9/9/2011 12:00:00 AM
2932381	20435	N	7	ST	PHOENIX	ARIZONA	85024	2/3/2012 12:00:00 AM
3097285	7385	W	PALO BREA	LN	PEORIA	ARIZONA	85383	12/1/2010 12:00:00 AM
3135281	4420	W	BRAIDED REIN	 	FLAGSTAFF	ARIZONA	86001	4/4/2011 12:00:00 AM
3138281	3714	E	ZACHARY	DR	PHOENIX	ARIZONA	85050	12/8/2010 12:00:00 AM
3201384	10187	E	HAPPY VALLEY	RD	SCOTTSDALE	ARIZONA	85255	12/28/2011 12:00:00 AM
3372384	551	E	APACHE	BLVD	TEMPE	ARIZONA	85281	4/11/2012 12:00:00 AM
3709282	9539	W	FRANK	AVE	PEORIA	ARIZONA	85382	11/9/2011 12:00:00 AM
3769280	3400	S	AVENUE 7E	 	YUMA	ARIZONA	85365	12/9/2010 12:00:00 AM
3787284	18412	W	LUKE	AVE	LITCHFIELD PARK	ARIZONA	85340	10/10/2011 12:00:00 AM
4069282	3400	S	AVENUE 7E	 	YUMA	ARIZONA	85365	12/2/2010 12:00:00 AM
4132380	3330	E	VAN BUREN	ST	PHOENIX	ARIZONA	85008	11/18/2011 12:00:00 AM
4301385	912	 	CANTERBURY	LN	PRESCOTT	ARIZONA	86301	1/25/2011 12:00:00 AM
4381386	868	W	PETERS	RD	CASA GRANDE	ARIZONA	85193	6/2/2011 12:00:00 AM
4422388	1617	W	MARICOPA	ST	PHOENIX	ARIZONA	85007	8/29/2011 12:00:00 AM
4440389	16720	W	BERKELEY	RD	GOODYEAR	ARIZONA	85395	11/18/2011 12:00:00 AM
4690382	912	 	CANTERBURY	LN	PRESCOTT	ARIZONA	86301	1/25/2011 12:00:00 AM
4781380	12180	W	SEXTON	RD	SKULL VALLEY	ARIZONA	86338	5/11/2011 12:00:00 AM
4807282	16497	W	VIRGINIA	AVE	GOODYEAR	ARIZONA	85395	7/13/2011 12:00:00 AM
4809286	17142	S	176	DR	GOODYEAR	ARIZONA	85338	3/11/2011 12:00:00 AM
4852388	1832	 	ENCHANTED CANYON	WAY	PRESCOTT	ARIZONA	86305	1/23/2012 12:00:00 AM
5198284	7301	W	MONTE CRISTO	AVE	GLENDALE	ARIZONA	85308	2/8/2011 12:00:00 AM
5281389	3845	N	VIEWPOINT	DR	PRESCOTT VALLEY	ARIZONA	86314	10/19/2011 12:00:00 AM
5438288	19258	W	OREGON	AVE	LITCHFIELD PARK	ARIZONA	85340	10/28/2011 12:00:00 AM
5549289	2020	S	238	LN	BUCKEYE	ARIZONA	85326	4/4/2011 12:00:00 AM
5571386	3687	 	PAPERMILL	RD	TAYLOR	ARIZONA	85939	2/23/2011 12:00:00 AM
5746285	409	W	WULFENITE	RD	FLAGSTAFF	ARIZONA	86001	12/16/2011 12:00:00 AM
5999286	13169	S	SHEILA	AVE	YUMA	ARIZONA	85367	12/20/2011 12:00:00 AM
6049288	4020	E	NAVIGATOR	LN	PHOENIX	ARIZONA	85050	5/6/2011 12:00:00 AM
6137283	2800	N	PRESIDENTIAL	DR	FLORENCE	ARIZONA	85132	3/15/2011 12:00:00 AM
6138280	16371	W	CIELO GRANDE	AVE	SURPRISE	ARIZONA	85387	11/9/2010 12:00:00 AM
6151380	2150	E	HUNTINGTON BATCH PLANT	DR	FLAGSTAFF	ARIZONA	86004	11/10/2010 12:00:00 AM
6229284	1380	 	BLACK BEAR	DR	COTTONWOOD	ARIZONA	86326	10/27/2010 12:00:00 AM
6252389	211	N	DONNELLY	AVE	WINSLOW	ARIZONA	86047	1/5/2012 12:00:00 AM
6417285	28772	N	67	DR	PEORIA	ARIZONA	85383	4/5/2012 12:00:00 AM
6431387	30	 	EMERALD	CT	SEDONA	ARIZONA	86336	3/15/2011 12:00:00 AM
6476285	2444	N	164	AVE	GOODYEAR	ARIZONA	85395	11/10/2010 12:00:00 AM
6502381	7650	W	ESCUDA	DR	GLENDALE	ARIZONA	85308	6/20/2011 12:00:00 AM
6601381	123	 	BRADSHAW	DR	PRESCOTT	ARIZONA	86303	3/24/2011 12:00:00 AM
6776280	17034	N	184	LN	SURPRISE	ARIZONA	85374	9/2/2011 12:00:00 AM
6851387	997	E	PINE KNOLL	DR	FLAGSTAFF	ARIZONA	86001	1/3/2011 12:00:00 AM
7052388	1124	N	KAREN	WAY	PAYSON	ARIZONA	85541	12/20/2011 12:00:00 AM
7202380	11115	E	SOUTH FRONTAGE	RD	YUMA	ARIZONA	85367	6/20/2011 12:00:00 AM
7301388	912	 	CANTERBURY	LN	PRESCOTT	ARIZONA	86301	1/25/2011 12:00:00 AM
7628288	17032	W	GIBSON	LN	GOODYEAR	ARIZONA	85338	7/22/2011 12:00:00 AM
7671385	8276	W	UNION HILLS	DR	PEORIA	ARIZONA	85382	6/17/2011 12:00:00 AM
7700381	1120	S	LORENZO SITGREAVES	DR	SHOW LOW	ARIZONA	85901	3/15/2012 12:00:00 AM
7732386	20435	N	7	ST	PHOENIX	ARIZONA	85024	3/8/2012 12:00:00 AM
7822386	301	S	MARINA	ST	PRESCOTT	ARIZONA	86303	9/14/2011 12:00:00 AM
7859288	21532	N	262	LN	BUCKEYE	ARIZONA	85396	9/30/2011 12:00:00 AM
7932386	3225	N	CENTRAL	AVE	PHOENIX	ARIZONA	85012	11/2/2011 12:00:00 AM
8112385	510	W	HIGHLAND	AVE	PHOENIX	ARIZONA	85013	7/19/2011 12:00:00 AM
8208285	17930	W	LAS PALMARITAS	DR	WADDELL	ARIZONA	85355	3/15/2012 12:00:00 AM
8222382	7131	 	POLACCA  1M	 	KEAMS CANYON	ARIZONA	86034	9/16/2011 12:00:00 AM
8312387	121	W	6	ST	TEMPE	ARIZONA	85281	8/11/2011 12:00:00 AM
8330381	1735	W	DESPERADO	WAY	PHOENIX	ARIZONA	85085	5/10/2011 12:00:00 AM
8338283	21329	N	37	RUN	PHOENIX	ARIZONA	85050	2/10/2012 12:00:00 AM
8451382	250	E	OWENS	 	SHOW LOW	ARIZONA	85901	1/7/2011 12:00:00 AM
8532386	4189	 	PROVIDENCE	RD	PRESCOTT VALLEY	ARIZONA	86314	10/31/2011 12:00:00 AM
8541389	18777	N	SCOTTSDALE	RD	SCOTTSDALE	ARIZONA	85255	11/12/2010 12:00:00 AM
8551381	7302	N	TATUM	BLVD	PARADISE VALLEY	ARIZONA	85253	3/30/2012 12:00:00 AM
8562381	552	W	MCDOWELL	 	PHOENIX	ARIZONA	85003	4/10/2012 12:00:00 AM
8601384	276	W	32	ST	YUMA	ARIZONA	85364	12/27/2010 12:00:00 AM
8602386	16060	W	LOWER BUCKEYE	PKWY	GOODYEAR	ARIZONA	85338	8/30/2011 12:00:00 AM
8609281	206	 	FIRST MAN	LN	CAMP VERDE	ARIZONA	86322	1/10/2012 12:00:00 AM
8771383	10088	 	GUIDANCE	WAY	HEREFORD	ARIZONA	85615	6/20/2011 12:00:00 AM
8827283	10146	E	34	LN	YUMA	ARIZONA	85365	1/9/2012 12:00:00 AM
8941385	805	N	SUNSHINE	BLVD	ELOY	ARIZONA	85131	10/28/2010 12:00:00 AM
8968281	608	W	ROCK VIEW	RD	PHOENIX	ARIZONA	85085	1/7/2011 12:00:00 AM
8971384	28321	N	129	DR	PEORIA	ARIZONA	85383	12/28/2011 12:00:00 AM
9142383	127	E	ROTONDA	WAY	PRESCOTT	ARIZONA	86301	11/22/2011 12:00:00 AM
9159283	2036	S	238	LN	BUCKEYE	ARIZONA	85326	6/16/2011 12:00:00 AM
9228282	2352	N	ALSAP	DR	BUCKEYE	ARIZONA	85396	11/5/2010 12:00:00 AM
9269283	21516	N	262	LN	BUCKEYE	ARIZONA	85396	1/31/2012 12:00:00 AM
9286281	2325	N	164	AVE	GOODYEAR	ARIZONA	85395	11/9/2010 12:00:00 AM
9301389	123	 	BRADSHAW	DR	PRESCOTT	ARIZONA	86303	3/30/2011 12:00:00 AM
9451387	10034	N	18	AVE	PHOENIX	ARIZONA	85021	12/17/2010 12:00:00 AM
9472387	3011	E	TC CEDAR	 	TUBA CITY	ARIZONA	86045	4/2/2012 12:00:00 AM
9581383	28337	N	129	DR	PEORIA	ARIZONA	85383	5/6/2011 12:00:00 AM
9589282	21623	E	REUNION	RD	RED ROCK	ARIZONA	85145	8/29/2011 12:00:00 AM
9851381	997	E	PINE KNOLL	DR	FLAGSTAFF	ARIZONA	86001	12/7/2010 12:00:00 AM
9859287	21500	N	262	LN	BUCKEYE	ARIZONA	85396	1/26/2012 12:00:00 AM
10022385	18098	W	MONTECITO	AVE	GOODYEAR	ARIZONA	85395	11/16/2011 12:00:00 AM
10040389	7849	 	DISCOVERY	WAY	FLORENCE	ARIZONA	85132	9/29/2011 12:00:00 AM
10198289	5301	E	HALLIHAN	DR	CAVE CREEK	ARIZONA	85331	11/9/2011 12:00:00 AM
10571382	28353	N	129	DR	PEORIA	ARIZONA	85383	10/5/2011 12:00:00 AM
10741381	4550	S	GAZANIA	AVE	YUMA	ARIZONA	85365	10/29/2010 12:00:00 AM
10777289	9284	W	QUAIL TRACK	DR	PEORIA	ARIZONA	85383	9/30/2011 12:00:00 AM
10815286	3905	S	FLAGSTAFF RANCH	RD	FLAGSTAFF	ARIZONA	86001	12/10/2010 12:00:00 AM
10951386	17810	S	WALAPAI	RD	MUNDS PARK	ARIZONA	86017	12/17/2010 12:00:00 AM
11312386	121	W	6	ST	TEMPE	ARIZONA	85281	8/11/2011 12:00:00 AM
11428281	11250	E	HIGHWAY 69	 	DEWEY	ARIZONA	86327	8/23/2011 12:00:00 AM
11722382	601	S	FARMER	AVE	TEMPE	ARIZONA	85281	11/4/2011 12:00:00 AM
11849281	2052	S	238	LN	BUCKEYE	ARIZONA	85326	9/23/2011 12:00:00 AM
11902388	41125	N	DAISY MOUNTAIN	DR	PHOENIX	ARIZONA	85086	7/14/2011 12:00:00 AM
11921388	23924	N	23	PL	PHOENIX	ARIZONA	85024	5/12/2011 12:00:00 AM
11952387	33740	W	RAINBOW TRAIL	RD	ARLINGTON	ARIZONA	85322	4/11/2012 12:00:00 AM
12051389	3400	S	KOFA	DR	FLAGSTAFF	ARIZONA	86001	11/24/2010 12:00:00 AM
12061387	320	W	ERIE	 	HOLBROOK	ARIZONA	86025	12/17/2010 12:00:00 AM
12321385	1830	E	DEVONSHIRE	AVE	PHOENIX	ARIZONA	85016	11/24/2010 12:00:00 AM
12332387	13355	N	YAQUI	DR	PRESCOTT	ARIZONA	86305	11/10/2011 12:00:00 AM
12358289	18060	W	TURNEY	AVE	GOODYEAR	ARIZONA	85395	7/13/2011 12:00:00 AM
12381388	1051	N	CENTRAL	AVE	SHOW LOW	ARIZONA	85901	4/19/2011 12:00:00 AM
12387288	9178	E	HOVERLAND	RD	SCOTTSDALE	ARIZONA	85255	6/22/2011 12:00:00 AM
12411380	38898	N	CAVE CREEK	RD	SCOTTSDALE	ARIZONA	85262	2/10/2012 12:00:00 AM
12412381	121	W	6	ST	TEMPE	ARIZONA	85281	8/11/2011 12:00:00 AM
12458281	18988	N	101	ST	SCOTTSDALE	ARIZONA	85255	10/20/2011 12:00:00 AM
12681384	1533	 	GAVIN HOA PEDESTAL	 	FLAGSTAFF	ARIZONA	86001	4/18/2011 12:00:00 AM
12859280	21484	N	262	LN	BUCKEYE	ARIZONA	85396	11/10/2011 12:00:00 AM
13181384	46628	 	HIGHWAY 60	 	SALOME	ARIZONA	85348	4/14/2011 12:00:00 AM
13181385	12990	W	ROY ROGERS	RD	PEORIA	ARIZONA	85383	7/19/2011 12:00:00 AM
13452383	6712	 	RICKS	LN	PINE	ARIZONA	85544	12/6/2011 12:00:00 AM
13461383	29410	N	214	DR	WITTMANN	ARIZONA	85361	8/5/2011 12:00:00 AM
13581381	9830	E	RUNNING DEER	TRL	SCOTTSDALE	ARIZONA	85262	8/19/2011 12:00:00 AM
13732384	95	 	SOLDIER PASS	RD	SEDONA	ARIZONA	86336	1/20/2012 12:00:00 AM
13821380	7600	W	PATRIOT	WAY	FLORENCE	ARIZONA	85132	8/16/2011 12:00:00 AM
13952382	251	S	MOOSE POINT	 	TONTO BASIN	ARIZONA	85553	2/22/2012 12:00:00 AM
13996280	15655	W	CAMPBELL	AVE	GOODYEAR	ARIZONA	85395	11/22/2011 12:00:00 AM
14069282	3400	S	AVENUE 7E	 	YUMA	ARIZONA	85365	12/8/2010 12:00:00 AM
14106288	1420	S	BENT CREEK	LN	CORNVILLE	ARIZONA	86325	12/14/2011 12:00:00 AM
14117285	16532	W	ALMERIA	RD	GOODYEAR	ARIZONA	85395	1/31/2011 12:00:00 AM
14159283	12936	W	FOSSIL	DR	PEORIA	ARIZONA	85383	4/1/2011 12:00:00 AM
14251383	8002	W	BEARDSLEY	RD	PEORIA	ARIZONA	85382	11/5/2010 12:00:00 AM
14288287	1361	S	MARICOPA	 	FLAGSTAFF	ARIZONA	86001	3/1/2012 12:00:00 AM
14671384	38951	N	26	ST	CAVE CREEK	ARIZONA	85331	3/28/2011 12:00:00 AM
14749287	12930	W	FOSSIL	DR	PEORIA	ARIZONA	85383	12/2/2010 12:00:00 AM
14808289	20994	W	WESTERN	DR	BUCKEYE	ARIZONA	85396	12/8/2010 12:00:00 AM
15079286	4044	E	CRIMSON	TER	CAVE CREEK	ARIZONA	85331	2/1/2011 12:00:00 AM
15218287	2838	E	TRACY	LN	PHOENIX	ARIZONA	85032	3/19/2012 12:00:00 AM
15318287	3228	W	GRAN PARADISO	DR	PHOENIX	ARIZONA	85086	9/21/2011 12:00:00 AM
15338283	67911	 	MESQUITE	 	SALOME	ARIZONA	85348	6/15/2011 12:00:00 AM
15429289	13048	W	RANCHO SANTA FE	BLVD	AVONDALE	ARIZONA	85392	6/6/2011 12:00:00 AM
15617288	1796	N	144	DR	GOODYEAR	ARIZONA	85395	1/14/2011 12:00:00 AM
15669284	3400	S	AVENUE 7E	 	YUMA	ARIZONA	85365	12/9/2010 12:00:00 AM
15722385	704	N	ROCK SAGE	CIR	PAYSON	ARIZONA	85541	9/8/2011 12:00:00 AM
15801380	9477	E	DESERT CAMP	DR	SCOTTSDALE	ARIZONA	85255	12/16/2011 12:00:00 AM
15841385	17520	W	REDWOOD	LN	GOODYEAR	ARIZONA	85338	12/5/2011 12:00:00 AM
16041283	2834	E	TRACY	LN	PHOENIX	ARIZONA	85032	1/19/2012 12:00:00 AM
16138288	21910	N	38	PL	PHOENIX	ARIZONA	85050	12/6/2011 12:00:00 AM
16152384	212	 	RIVERSIDE	DR	PARKER	ARIZONA	85344	1/4/2012 12:00:00 AM
16168283	17953	W	CASSIA	WAY	GOODYEAR	ARIZONA	85338	10/11/2011 12:00:00 AM
16251381	10080	W	TOUGH COUNTRY	TRL	SKULL VALLEY	ARIZONA	86338	12/1/2010 12:00:00 AM
16529287	20331	N	269	DR	BUCKEYE	ARIZONA	85396	8/17/2011 12:00:00 AM
16601381	123	 	BRADSHAW	DR	PRESCOTT	ARIZONA	86303	3/30/2011 12:00:00 AM
16869284	4040	E	CRIMSON	TER	CAVE CREEK	ARIZONA	85331	2/11/2011 12:00:00 AM
16972383	551	E	APACHE	BLVD	TEMPE	ARIZONA	85281	4/11/2012 12:00:00 AM
17619286	25825	N	107	DR	PEORIA	ARIZONA	85383	8/5/2011 12:00:00 AM
17621388	17117	S	176	DR	GOODYEAR	ARIZONA	85338	5/11/2011 12:00:00 AM
17628283	18133	N	CANAL	DR	SURPRISE	ARIZONA	85374	12/22/2011 12:00:00 AM
17661384	7902	E	THOMAS	RD	SCOTTSDALE	ARIZONA	85251	1/28/2011 12:00:00 AM
17697286	2158	W	SCULLY	DR	PHOENIX	ARIZONA	85023	2/28/2012 12:00:00 AM
17717280	3211	N	CLANTON	ST	BUCKEYE	ARIZONA	85396	11/2/2011 12:00:00 AM
17832383	1569	E	WASHINGTON	LN	SAN LUIS	ARIZONA	85349	10/26/2011 12:00:00 AM
17859288	21460	N	262	LN	BUCKEYE	ARIZONA	85396	3/30/2012 12:00:00 AM
18042381	20435	N	7	ST	PHOENIX	ARIZONA	85024	3/28/2012 12:00:00 AM
18057284	9632	N	182	LN	WADDELL	ARIZONA	85355	8/2/2011 12:00:00 AM
18161380	206	 	GC PAIUTE	CIR	GRAND CANYON	ARIZONA	86023	6/2/2011 12:00:00 AM
18171383	2263	N	TREKELL	RD	CASA GRANDE	ARIZONA	85122	1/25/2011 12:00:00 AM
18199282	12825	E	49	ST	YUMA	ARIZONA	85367	2/10/2011 12:00:00 AM
18251385	3400	S	KOFA	DR	FLAGSTAFF	ARIZONA	86001	11/24/2010 12:00:00 AM
18251388	3400	 	KOFA	 	FLAGSTAFF	ARIZONA	86001	11/18/2010 12:00:00 AM
18251389	22	E	BIRCH	 	FLAGSTAFF	ARIZONA	86001	11/30/2010 12:00:00 AM
18257281	2830	 	GARRETTS	WAY	SHOW LOW	ARIZONA	85901	4/3/2012 12:00:00 AM
18312387	133	W	6	ST	TEMPE	ARIZONA	85281	8/23/2011 12:00:00 AM
18358287	18975	N	101	ST	SCOTTSDALE	ARIZONA	85255	3/29/2012 12:00:00 AM
18451384	314	N	2	AVE	PHOENIX	ARIZONA	85003	3/22/2011 12:00:00 AM
18518280	17524	W	LARKSPUR	DR	SURPRISE	ARIZONA	85388	11/18/2011 12:00:00 AM
18541389	15430	N	25	ST	PHOENIX	ARIZONA	85032	11/4/2010 12:00:00 AM
18648286	4714	W	LAPENNA	DR	NEW RIVER	ARIZONA	85087	12/16/2011 12:00:00 AM
18722387	5516	W	DESERT HOLLOW	DR	PHOENIX	ARIZONA	85083	9/9/2011 12:00:00 AM
18749285	2068	S	238	LN	BUCKEYE	ARIZONA	85326	6/15/2011 12:00:00 AM
18781387	8210	 	PORTER	AVE	JOSEPH CITY	ARIZONA	86032	5/12/2011 12:00:00 AM
18799284	12815	E	49	ST	YUMA	ARIZONA	85367	3/11/2011 12:00:00 AM
18841387	17528	W	REDWOOD	LN	GOODYEAR	ARIZONA	85338	4/6/2011 12:00:00 AM
18889288	2318	N	DAVID RIEDEL	BLVD	SAN LUIS	ARIZONA	85349	5/10/2011 12:00:00 AM
18907289	11821	W	DONALD	DR	SUN CITY	ARIZONA	85373	4/4/2012 12:00:00 AM
19319285	9547	W	FRANK	AVE	PEORIA	ARIZONA	85382	11/14/2011 12:00:00 AM
19332383	4651	N	HOLLY	 	PINE	ARIZONA	85544	9/23/2011 12:00:00 AM
19441388	27775	N	ALMA SCHOOL	PKWY	SCOTTSDALE	ARIZONA	85262	10/10/2011 12:00:00 AM
19561383	250	E	OWENS	 	SHOW LOW	ARIZONA	85901	1/24/2011 12:00:00 AM
19656283	36851	N	109	WAY	SCOTTSDALE	ARIZONA	85262	2/18/2011 12:00:00 AM
19751385	997	E	PINE KNOLL	DR	FLAGSTAFF	ARIZONA	86001	3/30/2011 12:00:00 AM
19822389	4570	N	CENTRAL	AVE	PHOENIX	ARIZONA	85012	10/5/2011 12:00:00 AM
19841381	17536	W	REDWOOD	LN	GOODYEAR	ARIZONA	85338	11/16/2010 12:00:00 AM
19858285	14948	S	182	DR	GOODYEAR	ARIZONA	85338	3/16/2012 12:00:00 AM
19889288	2429	E	BERMUDEZ	ST	SAN LUIS	ARIZONA	85349	7/12/2011 12:00:00 AM
19922384	1501	NW	GRAND	AVE	PHOENIX	ARIZONA	85007	10/13/2011 12:00:00 AM
19961389	36600	N	CAVE CREEK	RD	CAVE CREEK	ARIZONA	85331	5/12/2011 12:00:00 AM
19988286	124	N	CALIFORNIA	ST	CHANDLER	ARIZONA	85225	11/19/2010 12:00:00 AM
20340384	84	N	193	AVE	BUCKEYE	ARIZONA	85326	6/23/2011 12:00:00 AM
20412388	133	W	6	ST	TEMPE	ARIZONA	85281	8/23/2011 12:00:00 AM
20427284	11549	E	36	ST	YUMA	ARIZONA	85367	1/12/2012 12:00:00 AM
20428287	12750	W	CALLE DE POMPAS	 	PEORIA	ARIZONA	85383	9/8/2011 12:00:00 AM
20628284	28617	N	215	AVE	WITTMANN	ARIZONA	85361	3/2/2012 12:00:00 AM
20732383	3330	E	VAN BUREN	ST	PHOENIX	ARIZONA	85008	11/2/2011 12:00:00 AM
20773282	17031	N	WHITE TANK VISTA	 	SURPRISE	ARIZONA	85374	6/17/2011 12:00:00 AM
20798280	34975	N	NORTH VALLEY	PKWY	PHOENIX	ARIZONA	85086	2/9/2012 12:00:00 AM
20807280	20768	W	HAMILTON	ST	BUCKEYE	ARIZONA	85396	4/26/2011 12:00:00 AM
20921386	7592	W	PATRIOT	WAY	FLORENCE	ARIZONA	85132	7/7/2011 12:00:00 AM
20942387	1515	N	7	AVE	PHOENIX	ARIZONA	85007	12/13/2011 12:00:00 AM
20999285	12795	E	48	DR	YUMA	ARIZONA	85367	11/28/2011 12:00:00 AM
21062389	55	 	PINON JAY	WAY	SEDONA	ARIZONA	86336	3/30/2012 12:00:00 AM
21097281	10088	W	SUGAR SAND	LN	PEORIA	ARIZONA	85383	12/29/2011 12:00:00 AM
21097288	18536	W	MONTEBELLO	AVE	LITCHFIELD PARK	ARIZONA	85340	11/3/2011 12:00:00 AM
21152381	1781	 	HIGHWAY 69	 	PRESCOTT	ARIZONA	86301	12/15/2011 12:00:00 AM
21258282	17941	W	CASSIA	WAY	GOODYEAR	ARIZONA	85338	1/25/2012 12:00:00 AM
21261388	102	 	GC PAIUTE	CIR	GRAND CANYON	ARIZONA	86023	6/2/2011 12:00:00 AM
21302388	3277	 	KINSEY	ST	CAMP VERDE	ARIZONA	86322	8/15/2011 12:00:00 AM
21331389	45	 	SIMMONS	LN	SEDONA	ARIZONA	86351	6/13/2011 12:00:00 AM
21358284	18046	W	TURNEY	AVE	GOODYEAR	ARIZONA	85395	7/13/2011 12:00:00 AM
21398287	26122	W	TONTO	LN	BUCKEYE	ARIZONA	85396	1/7/2011 12:00:00 AM
21456288	4238	N	150	DR	GOODYEAR	ARIZONA	85395	5/20/2011 12:00:00 AM
21581386	34807	N	12	ST	PHOENIX	ARIZONA	85086	11/30/2011 12:00:00 AM
21591389	1702	E	RENTAL CAR	WAY	PHOENIX	ARIZONA	85034	5/23/2011 12:00:00 AM
21842385	20535	 	ELLIOT	 	BUCKEYE	ARIZONA	85326	12/7/2011 12:00:00 AM
21987285	18515	W	SAN MIGUEL	AVE	LITCHFIELD PARK	ARIZONA	85340	1/6/2012 12:00:00 AM
21991381	6471	W	RUSHMORE	WAY	FLORENCE	ARIZONA	85132	8/5/2011 12:00:00 AM
22318283	21019	W	WYCLIFF	DR	BUCKEYE	ARIZONA	85396	3/1/2011 12:00:00 AM
22361386	9239	 	JOY	AVE	HEREFORD	ARIZONA	85615	4/27/2011 12:00:00 AM
22509289	17656	W	CEDARWOOD	LN	GOODYEAR	ARIZONA	85338	3/11/2011 12:00:00 AM
22807288	20760	W	WHITE ROCK	RD	BUCKEYE	ARIZONA	85396	1/14/2011 12:00:00 AM
22812386	38310	N	SILVER SADDLE	DR	CAREFREE	ARIZONA	85377	10/28/2011 12:00:00 AM
22817280	1903	N	142	AVE	GOODYEAR	ARIZONA	85395	3/20/2012 12:00:00 AM
23027284	18650	N	THOMPSON PEAK	PKWY	SCOTTSDALE	ARIZONA	85255	12/28/2011 12:00:00 AM
23141382	4318	W	BUGLE	ST	YUMA	ARIZONA	85364	3/31/2011 12:00:00 AM
23581385	6675	 	HIGHWAY 69	 	MAYER	ARIZONA	86333	8/25/2011 12:00:00 AM
23851389	22039	S	STATE ROUTE 89	 	YARNELL	ARIZONA	85362	6/8/2011 12:00:00 AM
23952384	407	 	KYKOTSMOVI HOPI DAY    3M	 	KYKOTSMOVI	ARIZONA	86039	2/24/2012 12:00:00 AM
24081385	435	S	BONITO RANCH	LOOP	CORNVILLE	ARIZONA	86325	4/26/2011 12:00:00 AM
24181384	20555	N	SCOTTSDALE	RD	SCOTTSDALE	ARIZONA	85255	11/9/2011 12:00:00 AM
24291384	2350	 	TREE FARM	LN	CHINO VALLEY	ARIZONA	86323	6/9/2011 12:00:00 AM
24301386	912	 	CANTERBURY	LN	PRESCOTT	ARIZONA	86301	1/25/2011 12:00:00 AM
24348281	4920	W	OLD WEST	TRL	NEW RIVER	ARIZONA	85087	2/11/2011 12:00:00 AM
24601386	123	 	BRADSHAW	DR	PRESCOTT	ARIZONA	86303	3/24/2011 12:00:00 AM
25042382	9950	E	TEXAS	DR	PRESCOTT VALLEY	ARIZONA	86314	3/13/2012 12:00:00 AM
25381384	4735	W	BUCKSKIN	TRL	PHOENIX	ARIZONA	85083	2/15/2012 12:00:00 AM
25402280	26477	N	111	WAY	SCOTTSDALE	ARIZONA	85255	1/4/2012 12:00:00 AM
25417281	2017	N	164	AVE	GOODYEAR	ARIZONA	85395	3/2/2011 12:00:00 AM
25476289	2540	N	164	AVE	GOODYEAR	ARIZONA	85395	9/30/2011 12:00:00 AM
25481385	3845	N	VIEWPOINT	DR	PRESCOTT VALLEY	ARIZONA	86314	10/19/2011 12:00:00 AM
25481389	1051	N	CENTRAL	 	SHOW LOW	ARIZONA	85901	4/19/2011 12:00:00 AM
25528286	22643	W	LOMA LINDA	BLVD	BUCKEYE	ARIZONA	85326	11/12/2010 12:00:00 AM
25741383	610	S	DEWEY	RD	DEWEY	ARIZONA	86327	1/26/2011 12:00:00 AM
