"BldrId"	"SubCode"	"Sub"	"Active"	"MstrPlan"	"SubLocation"	"SubLocCity"	"SubLocZip"	"LotsSigned"	"LotsPaid"	"ContractDate"	"ExpDate"	"AddendumDate"	"AddendumLots"	"AmmendedDate"	"AmmendedLots"	"Rater"	"SolarCommunity"	"Parcel"	"SubComment"
"ASH02"	"ASHVEP"	"Verrado - Presidio"	1	"Verrado"		"Buckeye"		159	52	3/1/07 0:00:00	3/1/11 0:00:00				0	"EFL"	0
"ASH02"	"ASHVIS"	"Vistancia - Eagle Canyon at Vistancia"	1	"Vistancia"		"Peoria"		79	39	3/1/07 0:00:00	3/1/11 0:00:00				0	"EFL"	0
"BEA01"	"BEAGLN70SRS"	"Glenmont Estates"	1		"Yuma & Estrella Parkway"	"Goodyear"	"85338"	94	26	12/1/10 0:00:00	12/31/11 0:00:00			2/1/11 0:00:00	0	"Energy Inspectors"	1	"NA"	" "
"BEA01"	"BEASAN70SRS"	"Sanctuary At Canyon Trails"	1		"303 & Yuma"	"Goodyear"	"85338"	107	15	10/1/10 0:00:00	12/31/11 0:00:00			2/1/11 0:00:00	0	"Energy Inspectors"	1	"NA"	" "
"BEA01"	"BEASANSRS"	"Sanctuary At Canyon Trails"	0		"303 & Yuma"	"Goodyear"	"85338"	52	0	10/1/10 0:00:00	12/31/11 0:00:00				0	"Energy Inspectors"	0	"NA"	" "
"BEA01"	"BEATER"	"Terraza At Villago"	0		"Pinal Ave & Mccartney"	"Casa Grande"	"85122"	1	1	5/1/10 0:00:00	12/31/11 0:00:00			2/1/11 0:00:00	0	"Energy Inspectors"	0	"NA"
"BEA01"	"BEATER70SRS"	"Terraza At Villago"	1		"Pinal Ave & Mccartney"	"Casa Grande"	"85122"	99	9	5/1/10 0:00:00	12/31/11 0:00:00			2/1/11 0:00:00	0	"Energy Inspectors"	1	"NA"	" "
"BEA01"	"BEATERSRS"	"Terraza At Villago"	0		"Pinal Ave & Mccartney"	"Casa Grande"	"85122"	49	0	5/1/10 0:00:00	12/31/11 0:00:00			2/1/11 0:00:00	0	"Energy Inspectors"	0	"NA"	" "
"BEA01"	"BEATRI70SRS"	"Trianda Terrace"	1		"Indian School & Falcon Dr."	"Goodyear"	"85395"	40	20	12/1/10 0:00:00	12/31/11 0:00:00			2/1/11 0:00:00	0	"Energy Inspectors"	1	"NA"	" "
"CAC01"	"CACENC"	"Encore at Grayhawk"	1	"Grayhawk"	"Pima Rd. & Thompson Peak Pkwy."	"Scottsdale"	"85255"	44	40	6/15/08 0:00:00	6/15/10 0:00:00				0	"Energy Inspectors"	0	"3H"
"CAC01"	"CACSUM"	"Verrado - Summit Park"	1	"Verrado"	"Verrado Way & Western Dr."	"Buckeye"	"85326"	31	6	6/15/08 0:00:00	6/15/10 0:00:00				0	"Energy Inspectors"	0	"4.802 & 4.902"
"CAN01"	"CANREF"	"INACTIVE-Reflections at Blue Hills"	0		"Miller Rd. & Maricopa Rd."	"Buckeye"	"85326"	119	0	5/15/08 0:00:00	5/15/10 0:00:00				0	"DRW"	0		"ON HOLD"
"CEN01"	"CENBRO"	"INACTIVE-Oasis at Canyon Trails - Brookhaven"	0		"Cotton Lane & Van Buren Street"	"Goodyear"	"85338"	152	31	11/15/06 0:00:00	1/1/10 0:00:00				0	"Energy Inspectors"	0
"CEN01"	"CENBRO1"	"Oasis at Canyon Trails - Brookhaven"	1		"Cotton Lane & Van Buren Street"	"Goodyear"	"85338"	49	44	1/1/08 0:00:00	1/1/10 0:00:00				0	"Energy Inspectors"	0
