"BldrId"	"SubCode"	"LotNo"	"SiteId"	"SolarReady"	"SolarType"	"LotStatus"	"PlanNo"	"AddrNo"	"AddrDir"	"AddrName"	"AddrSufx"	"LtCity"	"LtState"	"LtZip"	"CkReqDate"	"PdDate"	"AmtPd"	"AmtPd_SR"	"H2OPV_Pd"	"PdDate_SR"	"InitialMeterSet"	"ComplianceDate"	"CkNumb"	"Dev"	"AppendDate"	"LotRecno"	"Comments"
"LEN01"	"LENASA70"	89.00	406928289	"N"	"N/A"	"Paid"	"451"	"16423"	"W"	"Cielo Grande"	"Ave"	"Surprise"	"AZ"	"85387"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		7/28/11 0:00:00	8/10/11 0:00:00	32050587	"Asante Horizon"	3/26/12 0:00:00	31269
"LEN01"	"LENHOR70"	3203.00	793068280	"N"	"N/A"	"Paid"	"358"	"5415"	"W"	"Fetlock"	"Trl"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		10/17/11 0:00:00	10/17/11 0:00:00	32050587	"Stetson Horizon"	3/26/12 0:00:00	31270
"LEN01"	"LENHOR70"	3204.00	802068285	"N"	"N/A"	"Paid"	"3570"	"5411"	"W"	"Fetlock"	"Trl"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		10/11/11 0:00:00	10/13/11 0:00:00	32050587	"Stetson Horizon"	3/26/12 0:00:00	31271
"LEN01"	"LENHOR70"	3205.00	802168286	"N"	"N/A"	"Paid"	"3570"	"5407"	"W"	"Fetlock"	"Trl"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		9/20/11 0:00:00	9/20/11 0:00:00	32050587	"Stetson Horizon"	3/26/12 0:00:00	31272
"LEN01"	"LENHOR70"	3206.00	804468283	"N"	"N/A"	"Paid"	"3570"	"5403"	"W"	"Fetlock"	"Trl"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		8/22/11 0:00:00	8/26/11 0:00:00	32050587	"Stetson Horizon"	3/26/12 0:00:00	31273
"LEN01"	"LENHOR70"	3207.00	807458282	"N"	"N/A"	"Paid"	"3570"	"5412"	"W"	"Fetlock"	"Trl"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		5/17/11 0:00:00	5/19/11 0:00:00	32050587	"Stetson Horizon"	3/26/12 0:00:00	31274
"LEN01"	"LENHOR70"	3208.00	812068285	"N"	"N/A"	"Paid"	"358"	"5416"	"W"	"Fetlock"	"Trl"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		7/26/11 0:00:00	8/1/11 0:00:00	32050587	"Stetson Horizon"	3/26/12 0:00:00	31275
"LEN01"	"LENHOR70"	3209.00	812168286	"N"	"N/A"	"Paid"	"358"	"5420"	"W"	"Fetlock"	"Trl"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		9/28/11 0:00:00	10/3/11 0:00:00	32050587	"Stetson Horizon"	3/26/12 0:00:00	31276
"LEN01"	"LENHOR70"	3210.00	814468283	"N"	"N/A"	"Paid"	"3560"	"5424"	"W"	"Fetlock"	"Trl"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		10/11/11 0:00:00	10/11/11 0:00:00	32050587	"Stetson Horizon"	3/26/12 0:00:00	31277
"LEN01"	"LENHOR70"	3211.00	822068285	"N"	"N/A"	"Paid"	"358"	"5428"	"W"	"Fetlock"	"Trl"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		8/4/11 0:00:00	8/5/11 0:00:00	32050587	"Stetson Horizon"	3/26/12 0:00:00	31278
