Site	Street Number	Prefix	Street Name	Suffix	Site Modifier Full	Site Lot Number	Site City	Site State	Site Zip5	Initial Meter Set Date
2412381	121	W	6	ST	UNIT 224		TEMPE	ARIZONA	85281	8/11/2011 12:00:00 AM
2418288	31467	N	133	DR		30	PEORIA	ARIZONA	85383	6/21/2010 12:00:00 AM
2470381	882	E	DEL RIO	ST		64	CHANDLER	ARIZONA	85225	9/9/2011 12:00:00 AM
2474281	19953	N	JENNINGS	WAY	2840 JSP	51	SURPRISE	ARIZONA	85374	8/27/2012 12:00:00 AM
2510384	6465	W	STONY QUAIL	WAY	LOT 91		FLORENCE	ARIZONA	85132	2/5/2010 12:00:00 AM
2566286	9328	W	TROY	DR	UNIT 1	28	ARIZONA CITY	ARIZONA	85123	10/20/2011 12:00:00 AM
2571282	12606	E	PARADISE	DR		259	SCOTTSDALE	ARIZONA	85259	11/29/2011 12:00:00 AM
2630389	3679		PRESIDENTIAL	WAY	LOT 3		FLORENCE	ARIZONA	85132	7/15/2010 12:00:00 AM
2730288	14418		MCPHEE	DR			SUN CITY	ARIZONA	85351	5/11/2010 12:00:00 AM
2897286	17017	W	RIO VISTA	LN		2	GOODYEAR	ARIZONA	85338	4/15/2010 12:00:00 AM
2921385	7608	W	PATRIOT	WAY	LOT 14		FLORENCE	ARIZONA	85132	9/14/2010 12:00:00 AM
2921387	3609	W	HUDSON	DR	LOT 6		FLORENCE	ARIZONA	85132	9/21/2010 12:00:00 AM
2932381	20435	N	7	ST	CLUBHSE		PHOENIX	ARIZONA	85024	2/3/2012 12:00:00 AM
3003389	1553		TAYLOR	AVE	APT		CHINO VALLEY	ARIZONA	86323	8/6/2012 12:00:00 AM
3042388	20435	N	7	ST	UNIT 2097		PHOENIX	ARIZONA	85024	6/25/2012 12:00:00 AM
3060382	12912	W	KATHARINE	WAY		1993	PEORIA	ARIZONA	85383	8/13/2010 12:00:00 AM
3072385	803	E	KENSINGTON	DR	APT 646		FLAGSTAFF	ARIZONA	86001	8/21/2012 12:00:00 AM
3092389	27159	W	BEHREND	DR		11	BUCKEYE	ARIZONA	85396	8/16/2012 12:00:00 AM
3097285	7385	W	PALO BREA	LN		74	PEORIA	ARIZONA	85383	12/1/2010 12:00:00 AM
3121288	2362	W	BETTY ELYSE	LN			PHOENIX	ARIZONA	85023	4/29/2010 12:00:00 AM
3135281	4420	W	BRAIDED REIN			2	FLAGSTAFF	ARIZONA	86001	4/4/2011 12:00:00 AM
3138281	3714	E	ZACHARY	DR		8	PHOENIX	ARIZONA	85050	12/8/2010 12:00:00 AM
3140285	1314	E	VISTA	AVE	APT D		PHOENIX	ARIZONA	85020	4/7/2010 12:00:00 AM
3140287	7612	N	12	PL			PHOENIX	ARIZONA	85020	10/31/2011 12:00:00 AM
3150287	8502	N	8	ST			PHOENIX	ARIZONA	85020	6/15/2010 12:00:00 AM
3184284	15600	N	FRANK LLOYD WRIGHT	BLVD	UNIT 1161		SCOTTSDALE	ARIZONA	85260	8/14/2012 12:00:00 AM
3192384	22455	N	MILLER	RD	HSE		SCOTTSDALE	ARIZONA	85255	6/21/2012 12:00:00 AM
3197283	2316	E	DRYWOOD			4	PHOENIX	ARIZONA	85024	7/26/2010 12:00:00 AM
3201384	10187	E	HAPPY VALLEY	RD			SCOTTSDALE	ARIZONA	85255	12/28/2011 12:00:00 AM
3217281	11805	W	DONALD	DR		24	SUN CITY	ARIZONA	85373	3/25/2010 12:00:00 AM
3231288	7501	E	PASEO DULCE		PV 19	8152	PRESCOTT VALLEY	ARIZONA	86314	6/10/2011 12:00:00 AM
3237283	3855	N	SUN CITY	BLVD	SALES CT		FLORENCE	ARIZONA	85132	4/16/2012 12:00:00 AM
3240282	7103	N	54	AVE	W   HS		GLENDALE	ARIZONA	85301	5/5/2012 12:00:00 AM
3262389	615	E	WEBER	DR	UNIT 1037		TEMPE	ARIZONA	85281	4/23/2012 12:00:00 AM
3372384	551	E	APACHE	BLVD	UNIT 4206		TEMPE	ARIZONA	85281	4/11/2012 12:00:00 AM
3446282	475	W	WULFENITE	RD		1	FLAGSTAFF	ARIZONA	86001	7/28/2010 12:00:00 AM
3460288	1307	E	BECKER	LN			PHOENIX	ARIZONA	85020	6/2/2010 12:00:00 AM
3500281	404	S	ALARCON	ST	APT A		PRESCOTT	ARIZONA	86303	9/6/2011 12:00:00 AM
3707289	20711	W	HAMILTON	ST		616	BUCKEYE	ARIZONA	85396	3/1/2010 12:00:00 AM
3709282	9539	W	FRANK	AVE		3	PEORIA	ARIZONA	85382	11/9/2011 12:00:00 AM
3762389	937	E	KENSINGTON	DR	APT 723		FLAGSTAFF	ARIZONA	86001	8/22/2012 12:00:00 AM
3769280	3400	S	AVENUE 7E		UNIT 285		YUMA	ARIZONA	85365	12/9/2010 12:00:00 AM
3787284	18412	W	LUKE	AVE		225	LITCHFIELD PARK	ARIZONA	85340	10/10/2011 12:00:00 AM
3987281	6544	W	ADMIRAL	CT	LOT 42		FLORENCE	ARIZONA	85132	8/11/2010 12:00:00 AM
4021284	15431	N	24	AVE			PHOENIX	ARIZONA	85023	6/24/2010 12:00:00 AM
4069282	3400	S	AVENUE 7E		UNIT 324		YUMA	ARIZONA	85365	12/2/2010 12:00:00 AM
4128289	17961	N	CANAL	DR		653	SURPRISE	ARIZONA	85374	10/1/2010 12:00:00 AM
4132380	3330	E	VAN BUREN	ST	UNIT 633		PHOENIX	ARIZONA	85008	11/18/2011 12:00:00 AM
4150280	1130	E	BUTLER	DR	APT B5		PHOENIX	ARIZONA	85020	10/1/2010 12:00:00 AM
4175285	13225	W	SANTA YNEZ	DR		14	SUN CITY WEST	ARIZONA	85375	4/28/2010 12:00:00 AM
4180387	3325	S	AVENUE 8E		STE 11		YUMA	ARIZONA	85365	2/5/2010 12:00:00 AM
4200285	3015	W	SANDRA	TER			PHOENIX	ARIZONA	85053	2/16/2011 12:00:00 AM
4200286	16624	N	30	AVE			PHOENIX	ARIZONA	85053	7/16/2010 12:00:00 AM
4252381	4581	S	AGAVE	AVE		818	YUMA	ARIZONA	85365	4/30/2012 12:00:00 AM
4293284	130	W	GUADALUPE	RD	UNIT 2076		GILBERT	ARIZONA	85233	8/6/2012 12:00:00 AM
4297282	7955	E	37	ST		77	YUMA	ARIZONA	85365	8/17/2010 12:00:00 AM
4301385	912		CANTERBURY	LN	UNIT 1106		PRESCOTT	ARIZONA	86301	1/25/2011 12:00:00 AM
4321386	997	E	PINE KNOLL	DR	APT 1726		FLAGSTAFF	ARIZONA	86001	7/28/2010 12:00:00 AM
4381386	868	W	PETERS	RD	MTR 2		CASA GRANDE	ARIZONA	85193	6/2/2011 12:00:00 AM
4390380	17101	S	AVENUE G				SOMERTON	ARIZONA	85350	4/14/2010 12:00:00 AM
4422388	1617	W	MARICOPA	ST	HSE PANEL		PHOENIX	ARIZONA	85007	8/29/2011 12:00:00 AM
4428281	20950	W	WYCLIFF	DR		424	BUCKEYE	ARIZONA	85396	4/29/2010 12:00:00 AM
4428287	18219	W	STINSON	DR		824	SURPRISE	ARIZONA	85374	3/26/2010 12:00:00 AM
4430288	5501	E	EVERETT	DR			SCOTTSDALE	ARIZONA	85254	8/13/2012 12:00:00 AM
4430288	5501	E	EVERETT	DR			SCOTTSDALE	ARIZONA	85254	10/19/2011 12:00:00 AM
4440389	16720	W	BERKELEY	RD		1	GOODYEAR	ARIZONA	85395	11/18/2011 12:00:00 AM
4471287	1600	W	12	ST	APT 825		YUMA	ARIZONA	85364	7/1/2010 12:00:00 AM
4490289	2327	W	ACOMA	DR			PHOENIX	ARIZONA	85023	3/31/2011 12:00:00 AM
4492381	27187	W	BEHREND	DR		3	BUCKEYE	ARIZONA	85396	8/1/2012 12:00:00 AM
4520287	5749	N	7	ST	LOT 1755		PHOENIX	ARIZONA	85014	4/18/2012 12:00:00 AM
4540285	4137	W	YUCCA	ST			PHOENIX	ARIZONA	85029	10/12/2011 12:00:00 AM
4690382	912		CANTERBURY	LN	UNIT 1107		PRESCOTT	ARIZONA	86301	1/25/2011 12:00:00 AM
4701283	1710	S	4	ST			PHOENIX	ARIZONA	85004	4/4/2012 12:00:00 AM
4738283	5339	N	191	DR		94	LITCHFIELD PARK	ARIZONA	85340	6/18/2010 12:00:00 AM
4781380	12180	W	SEXTON	RD			SKULL VALLEY	ARIZONA	86338	5/11/2011 12:00:00 AM
4807282	16497	W	VIRGINIA	AVE		77	GOODYEAR	ARIZONA	85395	7/13/2011 12:00:00 AM
4809286	17142	S	176	DR		1	GOODYEAR	ARIZONA	85338	3/11/2011 12:00:00 AM
4815281	3655	W	STRAWBERRY ROAN		UNIT 6		FLAGSTAFF	ARIZONA	86001	7/27/2010 12:00:00 AM
4819282	1395	N	EAGLE VIEW	DR		59	COTTONWOOD	ARIZONA	86326	4/14/2010 12:00:00 AM
4852388	1832		ENCHANTED CANYON	WAY		4	PRESCOTT	ARIZONA	86305	1/23/2012 12:00:00 AM
4872384	4902	E	SHEA	BLVD	STE 106 2OF2		SCOTTSDALE	ARIZONA	85254	4/19/2012 12:00:00 AM
4932385	20435	N	7	ST	UNIT 2075		PHOENIX	ARIZONA	85024	5/23/2012 12:00:00 AM
4959286	21548	N	262	LN		161	BUCKEYE	ARIZONA	85396	6/1/2012 12:00:00 AM
5019283	23638	W	WIER	AVE		396	BUCKEYE	ARIZONA	85326	8/10/2012 12:00:00 AM
5150286	8928	N	11	ST			PHOENIX	ARIZONA	85020	7/19/2011 12:00:00 AM
5198284	7301	W	MONTE CRISTO	AVE		1	GLENDALE	ARIZONA	85308	2/8/2011 12:00:00 AM
5202286	555	E	RAY	RD	UNIT 247		CHANDLER	ARIZONA	85225	8/1/2012 12:00:00 AM
5208281	17943	W	DIANA	AVE		35	WADDELL	ARIZONA	85355	5/30/2012 12:00:00 AM
5281389	3845	N	VIEWPOINT	DR	APT 317		PRESCOTT VALLEY	ARIZONA	86314	10/19/2011 12:00:00 AM
5301287	538	E	ROCKWOOD	DR			PHOENIX	ARIZONA	85024	12/15/2011 12:00:00 AM
5312280	2126	W	22	PL		22	YUMA	ARIZONA	85364	7/30/2010 12:00:00 AM
5321385	997	E	PINE KNOLL	DR	APT 1733		FLAGSTAFF	ARIZONA	86001	7/28/2010 12:00:00 AM
5438288	19258	W	OREGON	AVE		163	LITCHFIELD PARK	ARIZONA	85340	10/28/2011 12:00:00 AM
5440283	6817	E	NORTH	LN			PARADISE VALLEY	ARIZONA	85253	8/28/2012 12:00:00 AM
5470280	2212	N	15	AVE	APT 2		PHOENIX	ARIZONA	85007	3/27/2012 12:00:00 AM
5492382	1115	W	DEER VALLEY	RD	STE 1		PHOENIX	ARIZONA	85027	7/13/2012 12:00:00 AM
5549289	2020	S	238	LN		504	BUCKEYE	ARIZONA	85326	4/4/2011 12:00:00 AM
5571386	3687		PAPERMILL	RD			TAYLOR	ARIZONA	85939	2/23/2011 12:00:00 AM
5634289	5172	W	ARROWHEAD LAKES	DR		3	GLENDALE	ARIZONA	85308	6/16/2010 12:00:00 AM
5643285	1215	E	MOSS	ST		11	PHOENIX	ARIZONA	85020	1/13/2011 12:00:00 AM
5708280	16074	W	HARVARD	ST		297	GOODYEAR	ARIZONA	85395	6/26/2012 12:00:00 AM
5720285	7214	N	6	WAY			PHOENIX	ARIZONA	85020	8/6/2012 12:00:00 AM
5746285	409	W	WULFENITE	RD		71	FLAGSTAFF	ARIZONA	86001	12/16/2011 12:00:00 AM
5758280	17965	W	CASSIA	WAY		1	GOODYEAR	ARIZONA	85338	7/25/2012 12:00:00 AM
5770388	71118		HIGHWAY 60				WENDEN	ARIZONA	85357	1/12/2010 12:00:00 AM
5779283	20025	N	20	ST	UNIT 101		PHOENIX	ARIZONA	85024	8/11/2010 12:00:00 AM
5811285	3636	E	WASHINGTON	ST	WS		PHOENIX	ARIZONA	85034	11/1/2010 12:00:00 AM
5814285	20100	N	78	PL	UNIT 1078		SCOTTSDALE	ARIZONA	85255	8/1/2012 12:00:00 AM
5817283	614	N	MARSHALL LOOP	CT		6	SOMERTON	ARIZONA	85350	5/17/2010 12:00:00 AM
5999286	13169	S	SHEILA	AVE		10	YUMA	ARIZONA	85367	12/20/2011 12:00:00 AM
6008281	26921	N	55	LN		63	PHOENIX	ARIZONA	85083	8/16/2010 12:00:00 AM
6049288	4020	E	NAVIGATOR	LN		47	PHOENIX	ARIZONA	85050	5/6/2011 12:00:00 AM
6090288	2224	W	DESERT COVE	AVE	STE 209		PHOENIX	ARIZONA	85029	9/28/2010 12:00:00 AM
6101382	3645	E	MAYO	BLVD			PHOENIX	ARIZONA	85050	5/25/2010 12:00:00 AM
6111381	1600		RUSTLING WIND			66	PRESCOTT	ARIZONA	86301	6/30/2010 12:00:00 AM
6137283	2800	N	PRESIDENTIAL	DR	LOT 11		FLORENCE	ARIZONA	85132	3/15/2011 12:00:00 AM
6138280	16371	W	CIELO GRANDE	AVE		83	SURPRISE	ARIZONA	85387	11/9/2010 12:00:00 AM
6151380	2150	E	HUNTINGTON BATCH PLANT	DR			FLAGSTAFF	ARIZONA	86004	11/10/2010 12:00:00 AM
6200383	28425	N	BLACK CANYON	HWY	APT 1057		PHOENIX	ARIZONA	85085	1/15/2010 12:00:00 AM
6229284	1380		BLACK BEAR	DR		1	COTTONWOOD	ARIZONA	86326	10/27/2010 12:00:00 AM
6241287	13419	E	41	LN			YUMA	ARIZONA	85367	8/17/2010 12:00:00 AM
6252389	211	N	DONNELLY	AVE			WINSLOW	ARIZONA	86047	1/5/2012 12:00:00 AM
6280287	2510	W	WINDROSE	DR			PHOENIX	ARIZONA	85029	7/31/2012 12:00:00 AM
6290283	1940	S	ARIZONA	AVE	APT A		YUMA	ARIZONA	85364	6/10/2011 12:00:00 AM
6370280	1079	S	AVENUE B		SPC 49		YUMA	ARIZONA	85364	9/8/2010 12:00:00 AM
6397284	16872	W	MAGNOLIA	ST		43	GOODYEAR	ARIZONA	85338	6/12/2012 12:00:00 AM
6403385	10758	W	YEARLING	RD	IRRIG		PEORIA	ARIZONA	85383	8/10/2012 12:00:00 AM
6417285	28772	N	67	DR		11	PEORIA	ARIZONA	85383	4/5/2012 12:00:00 AM
6431387	30		EMERALD	CT		43	SEDONA	ARIZONA	86336	3/15/2011 12:00:00 AM
6438287	19423	W	OREGON	AVE		51	LITCHFIELD PARK	ARIZONA	85340	8/1/2012 12:00:00 AM
6476285	2444	N	164	AVE		27	GOODYEAR	ARIZONA	85395	11/10/2010 12:00:00 AM
6502381	7650	W	ESCUDA	DR	QWEST		GLENDALE	ARIZONA	85308	6/20/2011 12:00:00 AM
6540289	11029	N	45	LN			GLENDALE	ARIZONA	85304	2/12/2010 12:00:00 AM
6601381	123		BRADSHAW	DR	APT 113		PRESCOTT	ARIZONA	86303	3/24/2011 12:00:00 AM
6620280	4445	W	WAGONER	RD			GLENDALE	ARIZONA	85308	3/14/2011 12:00:00 AM
6638282	4574	W	22	LN		509	YUMA	ARIZONA	85364	5/14/2010 12:00:00 AM
6697286	2299	S	169	DR	2675 JSP	55	GOODYEAR	ARIZONA	85338	7/5/2012 12:00:00 AM
6762282	2800	N	INDIAN WELLS	DR		139	PRESCOTT VALLEY	ARIZONA	86314	6/16/2011 12:00:00 AM
6776280	17034	N	184	LN		99	SURPRISE	ARIZONA	85374	9/2/2011 12:00:00 AM
6787284	16392	W	CORTEZ	ST		91	SURPRISE	ARIZONA	85388	8/14/2012 12:00:00 AM
6787285	17586	W	CORRINE	DR		163	SURPRISE	ARIZONA	85388	4/27/2010 12:00:00 AM
6811287	1572	E	LA JOLLA	CT			YUMA	ARIZONA	85365	8/10/2010 12:00:00 AM
6828284	3714	E	CAT BALUE	DR		38	PHOENIX	ARIZONA	85050	8/7/2012 12:00:00 AM
6851387	997	E	PINE KNOLL	DR	UNIT 622		FLAGSTAFF	ARIZONA	86001	1/3/2011 12:00:00 AM
6861285	2823		COLLEGE HEIGHTS	RD	ST	3	PRESCOTT	ARIZONA	86301	8/13/2011 12:00:00 AM
6891280	7810	N	14	PL	UNIT 1063		PHOENIX	ARIZONA	85020	8/1/2012 12:00:00 AM
6962380	961	E	KENSINGTON	DR	APT 1013		FLAGSTAFF	ARIZONA	86001	8/20/2012 12:00:00 AM
7011280	706	N	POPLAR	ST			GILBERT	ARIZONA	85233	5/17/2011 12:00:00 AM
7052388	1124	N	KAREN	WAY			PAYSON	ARIZONA	85541	12/20/2011 12:00:00 AM
7120289	249	W	TULSA	ST			CHANDLER	ARIZONA	85225	5/17/2011 12:00:00 AM
7139289	23762	W	YAVAPAI	ST		1	BUCKEYE	ARIZONA	85326	6/21/2010 12:00:00 AM
7202380	11115	E	SOUTH FRONTAGE	RD	SIGNAL		YUMA	ARIZONA	85367	6/20/2011 12:00:00 AM
7229283	13399		DOG HAVEN	PL			WILLIAMS	ARIZONA	86046	2/1/2010 12:00:00 AM
7301388	912		CANTERBURY	LN	UNIT 1201		PRESCOTT	ARIZONA	86301	1/25/2011 12:00:00 AM
7331389	1050	S	16	DR	TEMPY		PHOENIX	ARIZONA	85007	9/9/2010 12:00:00 AM
7337289	16624	W	WASHINGTON	ST		4	GOODYEAR	ARIZONA	85338	10/5/2010 12:00:00 AM
7401282	947	E	AIRE LIBRE	AVE			PHOENIX	ARIZONA	85022	1/20/2010 12:00:00 AM
7540281	1915	E	LOMA	LN			PHOENIX	ARIZONA	85020	11/8/2010 12:00:00 AM
7609283	708	W	ANDERSON	DR		1	PHOENIX	ARIZONA	85023	5/7/2012 12:00:00 AM
7624285	1482	N	DESERT WILLOW	ST	LOT 52		CASA GRANDE	ARIZONA	85122	5/21/2010 12:00:00 AM
7628288	17032	W	GIBSON	LN		105	GOODYEAR	ARIZONA	85338	7/22/2011 12:00:00 AM
7671385	8276	W	UNION HILLS	DR			PEORIA	ARIZONA	85382	6/17/2011 12:00:00 AM
7700381	1120	S	LORENZO SITGREAVES	DR	LOT 63		SHOW LOW	ARIZONA	85901	3/15/2012 12:00:00 AM
7732386	20435	N	7	ST	UNIT 1001		PHOENIX	ARIZONA	85024	3/8/2012 12:00:00 AM
7736283	987	W	WASHINGTON	ST	UNIT 322		TEMPE	ARIZONA	85281	8/1/2012 12:00:00 AM
7741387	2644		PARSON	LN			TAYLOR	ARIZONA	85939	9/28/2010 12:00:00 AM
7817282	18650	N	THOMPSON PEAK	PKWY	UNIT 1078		SCOTTSDALE	ARIZONA	85255	7/14/2010 12:00:00 AM
7822386	301	S	MARINA	ST	TEMPY ALLEY		PRESCOTT	ARIZONA	86303	9/14/2011 12:00:00 AM
7841283	6451	W	BELL	RD	APT 1002		GLENDALE	ARIZONA	85308	8/8/2012 12:00:00 AM
7851380	2450	W	WATER	ST	SPC N12A		YUMA	ARIZONA	85364	8/3/2012 12:00:00 AM
7859288	21532	N	262	LN		162	BUCKEYE	ARIZONA	85396	9/30/2011 12:00:00 AM
7930383	75		MESQUITE	RD			QUARTZSITE	ARIZONA	85346	3/2/2010 12:00:00 AM
7932386	3225	N	CENTRAL	AVE	STE 130		PHOENIX	ARIZONA	85012	11/2/2011 12:00:00 AM
7982387	11221	N	TATUM	BLVD	QWEST		PHOENIX	ARIZONA	85028	6/4/2012 12:00:00 AM
8009283	1514	E	VICTOR HUGO	AVE			PHOENIX	ARIZONA	85022	1/9/2012 12:00:00 AM
8101385	568	S	ELK RIDGE				YOUNG	ARIZONA	85554	4/8/2010 12:00:00 AM
8112385	510	W	HIGHLAND	AVE	APT A		PHOENIX	ARIZONA	85013	7/19/2011 12:00:00 AM
8122280	14545	N	FRANK LLOYD WRIGHT	BLVD	APT 2065	8A	SCOTTSDALE	ARIZONA	85260	9/2/2011 12:00:00 AM
8160288	4138	N	18	AVE			PHOENIX	ARIZONA	85015	10/23/2010 12:00:00 AM
8161285	10738	E	TERRA	DR		9	SCOTTSDALE	ARIZONA	85258	8/13/2012 12:00:00 AM
8161285	10738	E	TERRA	DR		9	SCOTTSDALE	ARIZONA	85258	9/19/2011 12:00:00 AM
8208285	17930	W	LAS PALMARITAS	DR		86	WADDELL	ARIZONA	85355	3/15/2012 12:00:00 AM
8211382	17033	S	178	AVE		46	GOODYEAR	ARIZONA	85338	7/16/2012 12:00:00 AM
