Brand Name,Model Number,Capacity,Energy Factor,UEF/CCE,Converted EF
U.S. Craftmaster,GTU 340NIH 100,0,0.95,-,-
U.S. Craftmaster,GTU 510NE 100,0,0.82,-,-
U.S. Craftmaster,GTU 510NI 100,0,0.82,-,-
U.S. Craftmaster,GTU 540NEH 100,0,0.95,-,-
U.S. Craftmaster,GTU 540NIH100,0,0.95,-,-
U.S. Craftmaster,GTU-110C-NI,0,0.82,-,-
U.S. Craftmaster,GTU-110U-E 200,0,0.82,-,-
U.S. Craftmaster,GTU-110U-I 200,0,0.82,-,-
U.S. Craftmaster,GTU-310C-NI,0,0.82,-,-
U.S. Craftmaster,GTU-310U-E 200,0,0.82,-,-
U.S. Craftmaster,GTU-310U-I 200,0,0.82,-,-
U.S. Craftmaster,GTU-510C-NI,0,0.82,-,-
U.S. Craftmaster,GTU-510-I 200,0,0.82,-,-
U.S. Craftmaster,GTU-510U-E 200,0,0.82,-,-
U.S. Craftmaster,GTU-540P-NEH,0,0.95,-,-
U.S. Craftmaster,GTU-540P-NIH,0,0.95,-,-
U.S. Craftmaster,HPE2F80HD045VU 102,80,1.80,-,-
U.S. Craftmaster,HPE2K60HD045V,60,2.00,-,-
U.S. Craftmaster,HPE2K80HD045V 102,80,1.80,-,-
U.S. Craftmaster,HPE2K80HD045V,80,1.80,-,-
U.S. Craftmaster,HPHE2F50HD045VU 120,50,2.40,-,-
U.S. Craftmaster,HPHE2F50HD045VU,50,2.40,-,-
U.S. Craftmaster,HPHE2F66HD045VU 120,66,2.60,-,-
U.S. Craftmaster,HPHE2F66HD045VU,66,2.60,-,-
U.S. Craftmaster,HPHE2F80HD045VU 120,80,2.70,-,-
U.S. Craftmaster,HPHE2F80HD045VU,80,2.70,-,-
U.S. Craftmaster,HPHE2K50HD045VU 120,50,2.40,-,-
U.S. Craftmaster,HPHE2K50HD045VUN,50,2.40,-,-
U.S. Craftmaster,HPHE2K66HD045VU 120,66,2.60,-,-
U.S. Craftmaster,HPHE2K66HD045VUN,66,2.60,-,-
U.S. Craftmaster,HPHE2K80HD045VU 120,80,2.70,-,-
U.S. Craftmaster,HPHE2K80HD045VUN,80,2.70,-,-
U.S. Craftmaster,HPSE10250H045V,50,2.00,-,-
U.S. Craftmaster,HPSE2F50HD045VU,50,2.00,-,-
U.S. Craftmaster,HPSE2F66HD045VU,66,2.00,-,-
U.S. Craftmaster,HPSE2F80HD045VU,80,2.10,-,-
U.S. Craftmaster,HPSE2K66HD045VU,66,2.00,-,-
U.S. Craftmaster,HPSE2K80HD045VU,80,2.10,-,-
U.S. Craftmaster,MHDV2F3030T 250,30,0.63,-,-
U.S. Craftmaster,MHDV2F4032T 250,40,0.62,-,-
U.S. Craftmaster,MHG2F3030T 400,30,0.63,-,-
U.S. Craftmaster,MHG2F4040T 400,40,0.62,-,-
U.S. Craftmaster,ND40S122-403,40,0.67,-,-
U.S. Craftmaster,ND40S62-403,40,0.67,-,-
U.S. Craftmaster,ND40S92-403,40,0.67,-,-
U.S. Craftmaster,ND40T122-403,40,0.67,-,-
U.S. Craftmaster,ND40T92-403,40,0.67,-,-
U.S. Craftmaster,ND50T62-403,50,0.67,-,-
U.S. Craftmaster,ND50T92-403,50,0.67,-,-
U.S. Craftmaster,NG1F3035SB 400,30,0.63,-,-
U.S. Craftmaster,NG1F3035TB 400,30,0.63,-,-
U.S. Craftmaster,NG1F4040SB 400,40,0.62,-,-
U.S. Craftmaster,NG1F4040TB 400,40,0.62,-,-
U.S. Craftmaster,"NG2(C,F,H,J)3030S 400",30,0.63,-,-
U.S. Craftmaster,"NG2(C,F,H,J)3030T 400",30,0.63,-,-
U.S. Craftmaster,"NG2(C,F,H,J)4034T 400",40,0.62,-,-
U.S. Craftmaster,"NG2(C,F,H,J)4040S 400",40,0.62,-,-
U.S. Craftmaster,"NG2(C,F,H,J)4040T 400",40,0.62,-,-
U.S. Craftmaster,"NG2(C,F,H,J)5040T 400",50,0.62,-,-
U.S. Craftmaster,NG2F3035ST 250,30,0.63,-,-
U.S. Craftmaster,NG2F4040S 250,40,0.62,-,-
U.S. Craftmaster,NG2F4040T 250,40,0.62,-,-
U.S. Craftmaster,PCG2F4040T3NOV,40,0.70,-,-
U.S. Craftmaster,PCG2F5040T3NOV,50,0.70,-,-
U.S. Craftmaster,"UNG1(C,F,H,J)4040T 400",40,0.62,-,-
U.S. Craftmaster,"UNG2(C,F,H,J)3030T 400",30,0.63,-,-
U.S. Craftmaster,UPVG2F4042NV,40,0.68,-,-
U.S. Craftmaster,UPVG2F5042NV,50,0.68,-,-
Vesta,VRP-199,0,-,0.95,0.95
Weil McLain,Weil McLain ECO 155,0,0.76,-,-
WESTINGHOUSE,WGRGH20NG75F,20,0.83,-,-
WESTINGHOUSE,WGRTCNG199,0,0.95,-,-
WESTINGHOUSE,WGRTCONG199,0,0.95,-,-
WESTINGHOUSE,WGRTNG150,0,0.95,-,-
WESTINGHOUSE,WGRTNG199,0,0.98,-,-
WESTINGHOUSE,WGRTONG150,0,0.95,-,-
WESTINGHOUSE,WGRTONG199,0,0.98,-,-
Whirlpool,"30S(3,6,9,12)-30NG 400",30,0.63,-,-
Whirlpool,"30T(3,6,9,12)-30NG 400",30,0.63,-,-
Whirlpool,"30T(3,6,9,12)-30UNG 400",30,0.63,-,-
Whirlpool,"40S(3,6,9,10,12)-40NG 400",40,0.62,-,-
Whirlpool,40S6-40UNG 400,40,0.62,-,-
Whirlpool,40T12-40DNG,40,0.67,-,-
Whirlpool,40T12-40UDNG 100,40,0.67,-,-
Whirlpool,"40T(3,6,9,10,12)-40NG 400",40,0.62,-,-
Whirlpool,"40T(3,6,9,12)-34NG 400",40,0.62,-,-
Whirlpool,"40T(3,6,9,12)-40UNG 400",40,0.62,-,-
Whirlpool,50T10-40NG 400,50,0.62,-,-
Whirlpool,50T12-40DNG,50,0.67,-,-
Whirlpool,50T12-40NG 400,50,0.62,-,-
Whirlpool,50T12-40UDNG 100,50,0.67,-,-
Whirlpool,E40R6-45 100,50,0.95,-,-
Whirlpool,HPE2K60HD045V,60,2.00,-,-
Whirlpool,HPE2K80HD045V,80,1.80,-,-
Whirlpool,HPHE2K50HD045VCN,50,2.40,-,-
Whirlpool,HPHE2K66HD045VCN,66,2.60,-,-
Whirlpool,HPHE2K66HD045VN,66,2.60,-,-
Whirlpool,HPHE2K80HD045VCN,80,2.70,-,-
Whirlpool,HPHE2K80HD045VN,80,2.70,-,-
Whirlpool,HPSE2K50HD045V 100 (WP),50,2.00,-,-
Whirlpool,HPSE2K50HD045V,50,2.00,-,-
Whirlpool,HPSE2K50HD045VC 100 (WP),50,2.00,-,-
Whirlpool,HPSE2K66HD045V,66,2.00,-,-
Whirlpool,HPSE2K66HD045VC,66,2.00,-,-
Whirlpool,HPSE2K80HD045V,80,2.10,-,-
Whirlpool,HPSE2K80HD045VC,80,2.10,-,-
Whirlpool,ND40T62-403,40,0.67,-,-
Whirlpool,ND50T122-403,50,0.67,-,-
Whirlpool,PCG2J4040T3NOV,40,0.70,-,-
Whirlpool,PCG2J5040T3NOV,50,0.70,-,-
