Brand Name,Outdoor Model Number,Indoor Model Number,"Capacity 17F (kBtuh)","Capacity 47F (kBtuh)",HSPF,"Cooling Capacity (kBtuh)",SEER,Motor HP,Ventilation Fan Watts
Mitsubishi,MUZ-HM15NA2***,MSZ-HM15NA***,11.5,18,8.5,14,18,-,-
Mitsubishi,MUZ-HM15NAH***,MSZ-HM15NA***,11.5,18,9,14,18,-,-
Mitsubishi,MUZ-HM15NA***,MSZ-HM15NA***,11.5,18,10,14,18,-,-
Mitsubishi,MUZ-HM15NA***,NAXWMT15A112A*,11.5,18,10,14,18,-,-
Mitsubishi,MUZ-HM15NA***,NTXWMT15A112A*,11.5,18,10,14,18,-,-
Mitsubishi,MUZ-HM15NA-U1,MSZ-HM15NA-U1,11.5,18,10,14,18,-,-
Mitsubishi,MUZ-HM24NA2***,MSZ-HM24NA***,18.5,26,8.5,22.4,18,-,-
Mitsubishi,MUZ-HM24NAH***,MSZ-HM24NA***,18.5,26,9,22.4,18,-,-
Mitsubishi,MUZ-HM24NA***,MSZ-HM24NA-U1,18.5,26,10,22.4,18,-,-
Mitsubishi,MUZ-HM24NA***,NAXWMT24A112A*,18.5,26,10,22.4,18,-,-
Mitsubishi,MUZ-HM24NA***,NTXWMT24A112A*,18.5,26,10,22.4,18,-,-
Mitsubishi,MUZ-WR12NA***,"NAXWEL12A112A*        ",7.6,12.2,9,12,16,-,-
Mitsubishi,MUZ-WR12NA***,NTXWEL12A112A*,7.6,12.2,9,12,16,-,-
Mitsubishi,MUZ-WR12NA-U1,MSZ-WR12NA-U1,7.6,12.2,8.5,12,16,-,-
Mitsubishi,MUZ-WR12NA-U2,MSZ-WR12NA-U1,7.6,12.2,9,12,16,-,-
Mitsubishi,MXZ-2C20NA2,-,12.5,22,9.3,20,16,-,-
Mitsubishi,MXZ-2C20NA2,-,13.5,22,10,18,20,-,-
Mitsubishi,MXZ-2C20NAH,-,13.7,22,9.5,20,15,-,-
Mitsubishi,MXZ-2C20NAH,-,13.7,22,9.8,18,17,-,-
Mitsubishi,MXZ-2C20NAHZ2,Ducted,13.7,22,9.5,20,15,-,-
Mitsubishi,MXZ-2C20NAHZ2,Mixed Ducted & Non-Ducted,13.7,22,9.65,19,16,-,-
Mitsubishi,MXZ-2C20NAHZ2,MSZ-FH09NA,13,22,10.1,18,17.15,-,-
Mitsubishi,MXZ-2C20NAHZ2,Non-Ducted,13.7,22,9.8,18,17,-,-
Mitsubishi,MXZ-3C24NA2,-,14,24.6,9.2,23.6,16,-,-
Mitsubishi,MXZ-3C24NA2,-,14,25,9.8,22,20,-,-
Mitsubishi,MXZ-3C24NAHZ,Ducted,14,24.6,9,23.6,15.5,-,-
Mitsubishi,MXZ-3C24NAHZ,Non-Ducted,14,25,10,22,19,-,-
Mitsubishi,MXZ-3C30NA2,Ducted,15.1,27.6,9.6,27.4,16.2,-,-
Mitsubishi,MXZ-3C30NA2,Non-Ducted,16,28.6,10.6,28.4,19,-,-
Mitsubishi,MXZ-3C30NAHZ2,-,16.5,27.6,9.8,27.4,16,-,-
Mitsubishi,MXZ-3C30NAHZ2,-,18,28.6,11,28.4,18,-,-
Mitsubishi,MXZ-4C36NA2,Ducted,20.2,34.4,9.8,34.4,16,-,-
Mitsubishi,MXZ-4C36NA2,Non-Ducted,22.2,36,11,35.4,19.2,-,-
Mitsubishi,MXZ-4C36NAHZ2,Ducted Indoor Units,34,45,11,36,17.5,-,-
Mitsubishi,MXZ-4C36NAHZ2,Mixed Ducted and Non-Ducted Indoor Units,32,45,11.15,36,18.75,-,-
Mitsubishi,MXZ-4C36NAHZ2,Non-Ducted Indoor Units,30,45,11.3,36,20,-,-
Mitsubishi,mxz-4c36NAHZ,-,34,45,11.3,36,19.1,-,-
Mitsubishi,mxz-4c36NAHZ,-,36,45,10.1,36,15.8,-,-
Mitsubishi,MXZ-5C42NA2,Ducted Indoor Units,23,41,9.1,37.4,15.2,-,-
Mitsubishi,MXZ-5C42NA2,Mixed Ducted and Non-Ducted Indoor Units,23.6,43,9.7,38.5,17.45,-,-
Mitsubishi,MXZ-5C42NA2,MSZ-GL09NA,24.4,45,10.3,40.5,19.7,-,-
Mitsubishi,MXZ-5C42NA2,Non-Ducted Indoor Units,24.4,45,10.3,40.5,19.7,-,-
Mitsubishi,MXZ-5C42NAHZ,Ducted,36.6,48,10.1,42,15,-,-
Mitsubishi,MXZ-5C42NAHZ,Non-Ducted,35.8,48,11,42,19,-,-
Mitsubishi,MXZ-8C48NA2,Ducted Indoor Units,33,54,10.1,48,16,-,-
Mitsubishi,MXZ-8C48NA2,Mixed Ducted and Non-Ducted Indoor Units,33,54,10.8,48,18,-,-
Mitsubishi,MXZ-8C48NA2,Non-Ducted Indoor Units,33,54,11.5,48,20,-,-
Mitsubishi,NTXMMX48A182B*,-,33,54,10.1,48,16,-,-
Mitsubishi,NTXMMX48A182B*,-,33,54,11.5,48,20,-,-
Mitsubishi,NTXMMX48A182BA,-,33,54,10.1,48,16,-,-
Mitsubishi,NTXMMX48A182BA,-,33,54,11.5,48,20,-,-
Mitsubishi,PUZ-A12NKA7***,PKA-A12HA*,9.2,14,10.2,12,20.8,-,-
Mitsubishi,PUZ-A18NKA7***,PEAD-A18AA*,11,19,10.2,18,19.9,-,-
Mitsubishi,PUZ-HA36NHA5,PCA-A36KA*,27,38,10.3,34,16.6,-,-
Mitsubishi,PUZ-HA36NHA5,PEAD-A36AA*,27,38,10.4,33,16.8,-,-
Mitsubishi,PUZ-HA36NHA5,PKA-A36KA*,25,38,10,33.4,16.2,-,-
Mitsubishi,PUZ-HA36NHA5,PLA-A36BA*,28,38,10,34,17,-,-
Mitsubishi,PUZ-HA36NHA5,PLA-A36EA*,28,38,10,36,17,-,-
Mitsubishi,PUZ-HA36NHA5,PVA-A36AA*,29,38,11,33,17.8,-,-
Mitsubishi,SUZ-KA09NA2,SEZ-KD09NA,7.6,12,11,9,18.8,-,-
Mitsubishi,SUZ-KA12NA2,PEAD-A12AA7,9.9,15,13,12,20.5,-,-
Mitsubishi,SUZ-KA12NA2,SVZ-KP12NA,9.9,15,12.1,12,18,-,-
Mitsubishi,SUZ-KA15NA2,SEZ-KD15NA,11.7,18,11.4,15,19,-,-
Mitsubishi,SUZ-KA15NAH2,SEZ-KD15NA,11.7,18,11,15,19,-,-
Mitsubishi,SUZ-KA15NA,SEZ-KD15NA,11.9,18,10,14.1,15.5,-,-
Mitsubishi,SUZ-KA18NA2,MLZ-KP18NA,13.1,20,12.4,18,22.3,-,-
Mitsubishi,SUZ-KA18NA2,SEZ-KD18NA,13.9,21.6,13.1,18,22,-,-
Mitsubishi,SUZ-KA18NA2,SVZ-KP18NA,14,21.6,12.6,18,18,-,-
Mitsubishi,suz-ka18nahz,svz-kp18na,14.3,21.6,10.4,18,18.4,-,-
Mitsubishi,SUZ-KA24NA2,NAXAMT24A112A*,14.6,25,10.4,24,18,-,-
Mitsubishi,SUZ-KA24NA2,NTXAMT24A112A*,14.6,25,10.4,24,18,-,-
Mitsubishi,SUZ-KA24NA2,PEAD-A24AA,15,25,11.2,24,18,-,-
Mitsubishi,SUZ-KA24NA2,PEAD-A24AA7,15,25,11.2,24,18,-,-
Mitsubishi,SUZ-KA24NA2,SVZ-KP24NA,14.6,25,10.4,24,18,-,-
Mitsubishi,SUZ-KA30NA2,PEAD-A30AA,22.4,30,12.6,27,18,1/3,36.3
Mitsubishi,SUZ-KA30NA2,SVZ-KP30NA,21.4,30,13.6,27,18,1/3,36.3
Mitsubishi,SUZ-KA30NAH2,PEAD-A30AA,22.4,30,12.4,27,18,-,-
Mitsubishi,SUZ-KA30NAH2,SVZ-KP30NA,21.4,30,13.4,27,18,1/3,36.3
Mitsubishi,SUZ-KA36NA2,SVZ-KP36NA,23.2,33.4,11.7,33.4,16,1/3,36.3
MRCOOL,DIY-18-HP-C-230AE,DIY-18-HP-WMAH-230AE,11.7,18,9.5,18,16,-,-
MSH Legacy,NXH530GKA**,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
MSH Legacy,NXH530GKA*,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Payne,38MAQB18R--3,40MBCQ18---3,12,18,10.5,16,20,-,-
Payne,38MAQB18R--3,40MBFQ18---3,13.4,18,10.6,17,19.9,-,-
Payne,38MAQB18R--3,DHMSHAQ18XA3,10.8,18,10.3,17,20,-,-
Payne,38MAQB18R,40MBDQ18,13.4,19,11,16.5,20,-,-
Payne,38MBRBQ48AA3,40MBAAQ48XA3,36,55,9.5,48,16,-,-
Payne,38MGRQ24C,-,17.2,24,10.3,24,23,-,-
Payne,38MGRQ24C,-,17.6,24,10,24,21,-,-
Payne,38MGRQ30D--3,Ducted,23,30,10,30,21,-,-
Payne,38MGRQ30D--3,Mixed Ducted & Non-Ducted,20.2,29,10,30,22.4,-,-
Payne,38MGRQ30D--3,Non-Ducted,17.4,28,10,30,23.8,-,-
Payne,38MGRQ36D--3,Ducted,24.6,37,11,36,19,-,-
Payne,38MGRQ36D--3,Non-Ducted,23.2,36,10.5,36,21.5,-,-
Payne,38MHRBQ12AA3,40MHHQ12---3,7.3,12,9.6,12,19.8,-,-
Pioneer,YN020GMFI22M2D,-,11.8,18,10,17,21.3,-,-
Rheem,AOU9RLS3,RIWH09AHWJ,7,12,14.2,9,33,-,-
Rheem,ROSH09AHWJ,RIWH09AHWJ,7,12,14.2,9,33,-,-
Rheem,RP1436FJ1,RH1T3617STAN,22.4,33.8,8.5,34.2,14.5,1/2,54.4361
Rheem,RP1442AJ1,RH1T4821STAN,24.8,39,9,42.5,14,-,-
Rheem,RP1448AJ1,RH1T4821STAN,29.8,46,9,48,14,-,-
Rheem,RP1460BJ1,RH1T6024STAN,34.6,54.5,8.5,56.5,14,-,-
Rheem,RP1524BJ1,RF1T2421MTAN,13.3,22,9,23.6,15,-,-
Rheem,RP1724HJVXA,RHMV2421MNAC,18.7,27,10.7,24,19,1/2,54.4361
Ruud,AOU9RLS3,RIWH09AHWJ,7,12,14,9,33,-,-
Ruud,ROSH09AHHJ,RIWH09AHWJ,7,12,14,9,33,-,-
Ruud,RP1442AJ1,RH1T4821STAN,24.8,39,9,42.5,14,-,-
Ruud,RP1448AJ1,RH1T4821STAN,29.8,46,9,48,14,-,-
Ruud,RP1460BJ1,RH1T6024STAN,34.6,54.5,8.5,56.5,14,-,-
Ruud,RP1524BJ1,RF1T2421MTAN,13.3,22,9,23.6,15,-,-
Ruud,UOSH12AHWJ,UIWH12AHWJ,9.6,16,14,12,29.3,-,-
Tempstar,NXH530GKA**,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Tempstar,NXH530GKA*,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Tempstar,TVH836GKA**,FCM4X36***L+WALLCON,23.8,34.8,9.5,32.8,16.5,-,-
Tempstar,TVH836GKA**,FCM4X48***L+WALLCON,23,34.2,10,34.2,17.5,-,-
Tempstar,TVH848GKA**,EA*4X48L21A*+WALLCON,36.8,52.5,10,45,17,-,-
Tempstar,TVH848GKA**,FCM4X48***L+WALLCON,35.2,50.5,11,46,18,-,-
Thermo,TH16B3621,CF/CM36B+ME12BN21+TXV,22.2,35,9.5,34,16.25,-,-
Toshiba,MCY-MAP0607HS-UL,Ducted Indoor Units,40,66,11,60,17.6,-,-
Toshiba,MCY-MAP0607HS-UL,Mixed Ducted and Non-Ducted Indoor Units,40,66,11.25,60,19.05,-,-
Toshiba,MCY-MAP0607HS-UL,Non-Ducted Indoor Units,40,66,11.5,60,20.5,-,-
Trane,4TWA4048A4,TEM4A0C48S41+TDR,29,46,8.25,47,14,-,-
Trane,4TWA4048A4,TEM4A0C60S51+TDR,28.4,44,8.5,47.5,14,-,-
Trane,4TWL6042A1,TEM4A0C37S31+TDR,27,40,9,41,14,-,-
Trane,4TWL6042A1,TEM4A0C42S41+TDR,26.8,40,9.5,41.5,15,-,-
Trane,4TWR4036D1,4txcc007ds3,21.8,33.6,8.5,36,15,-,-
Trane,4TWR4036D1,4txcc007ds3,22,33,8.2,34,14,-,-
Trane,4TWR4036D1,4txcc007ds3,22.4,34,8.5,35,14.5,-,-
Trane,4TWR4036D1,4txcc007ds3,22.6,34.6,8.5,35,14.5,-,-
Trane,4TWR4036G1,TEM4A0C37S31+TDR,21.8,33.4,8.5,36.2,14.5,-,-
Trane,4TWR4042G1,TEM4A0C42S41+TDR,25,39,8.5,41.5,14,-,-
Trane,4TWR5024H1,TEM6A0B30,14.1,21.8,9,24.2,15,-,-
Trane,4TWR5024H1,TEM6A0B30H21+TDR,14.1,21.8,9,24.2,15,-,-
Trane,4TWR5036H1,TEM4A0C42S41,22.8,34.6,8.5,36,15,1/2,54.4
Trane,4TWR5036H1,TEM6A0C36H31+TDR,21,33,9.5,34.8,15,-,-
Trane,4TWR5048H1,TEM6A0D48H41+TDR,28.4,44.5,9.5,47,15,-,-
Trane,4TWR5048H1,TEM8A0C48V41+TDR,28.8,42.5,9,46.5,15.5,-,-
Trane,4TWR6042H1,TAM9A0C60V51,25.2,39,9.6,42,17,-,-
Trane,4TWR6060H1,TEM4A0C60S51+TDR,35.6,52,8.2,54.5,14.5,-,-
Trane,4TWR7036B1,TEM6A0C36H31+TDR,20.8,32,9.6,36,17,1/2,54.4
Trane,4TWR7036B1,TEM6A0C42H41+TDR,21.6,32.6,9,37.4,17,-,-
Trane,4TWX8036C1,4PX*BD36BS3,21.8,34.4,8.2,36.2,16.75,-,-
Trane,MUZ-D30NA,MSZ-D30NA,20.8,32.6,8.2,30.6,14.5,-,-
Trane,MUZ-FH06NAH,MSZ-FH06NA**,5.9,8.7,12.5,6,33.1,-,-
Trane,MUZ-FH06NA,MSZ-FH06NA**,5.9,8.7,13.5,6,33.1,-,-
Trane,MUZ-FH09NA,MSZ-FH09NA**,6.7,10.9,12.5,9,30.5,-,-
Trane,MUZ-FH09NA,MSZ-FH09NA,6.7,10.9,13.5,9,30.5,-,-
Trane,MUZ-FH12NAH,MSZ-FH12NA**,8.1,13.6,11.5,12,26.1,-,-
Trane,MUZ-FH12NA,MSZ-FH12NA,8.1,13.6,12.5,12,26.1,-,-
Trane,MUZ-FH15NA,MSZ-FH15NA**,11,18,11,15,22,-,-
Trane,MUZ-FH15NA,MSZ-FH15NA,11,18,12,15,22,-,-
Trane,MUZ-GL09NA-U1,MSZ-GL09NA-U1,6.7,10.9,12.8,9,24.6,-,-
Trane,MUZ-GL12NA-U1,MSZ-GL12NA-U1,9.2,14.4,12.5,12,23.1,-,-
Trane,MUZ-GL18NA,MSZ-GL18NA,13.8,21.6,11.2,18,20.5,-,-
Trane,MUZ-HM12NA-U1,MSZ-HM12NA-U1,7.6,12.2,10,12,18,-,-
Trane,MXZ-2C20NA2,-,12.5,22,9.3,20,16,-,-
Trane,MXZ-2C20NA2,-,13.5,22,10,18,20,-,-
Trane,MXZ-2C20NAH,-,13.7,22,9.5,20,15,-,-
Trane,MXZ-2C20NAH,-,13.7,22,9.8,18,17,-,-
Trane,MXZ-3C24NA2,-,14,24.6,9.2,23.6,16,-,-
Trane,MXZ-3C24NA2,-,14,25,9.8,22,20,-,-
Trane,MXZ-3C24NAHZ,Ducted,14,24.6,9,23.6,15.5,-,-
Trane,MXZ-3C24NAHZ,Non-Ducted,14,25,10,22,19,-,-
Trane,MXZ-3C30NA2,Ducted,15.1,27.6,9.6,27.4,16.2,-,-
Trane,MXZ-3C30NA2,Non-Ducted,16,28.6,10.6,28.4,19,-,-
Trane,MXZ-3C30NAHZ2,-,16.5,27.6,9.8,27.4,16,-,-
Trane,MXZ-3C30NAHZ2,-,18,28.6,11,28.4,18,-,-
Trane,MXZ-4C36NA2,Ducted,20.2,34.4,9.8,34.4,16,-,-
Trane,MXZ-4C36NA2,Non-Ducted,22.2,36,11,35.4,19.2,-,-
Trane,mxz-4c36NAHZ,-,34,45,11.3,36,19.1,-,-
Trane,mxz-4c36NAHZ,-,36,45,10.1,36,15.8,-,-
Trane,MXZ-5C42NA2,MSZ-GL09NA,24.4,45,10.3,40.5,19.7,-,-
Trane,MXZ-5C42NAHZ,Ducted,36.6,48,10.1,42,15,-,-
Trane,MXZ-5C42NAHZ,Non-Ducted,35.8,48,11,42,19,-,-
Trane,PUZ-A12NKA7***,PKA-A12HA*,9.2,14,10.2,12,20.8,-,-
Trane,PUZ-A18NKA7***,PEAD-A18AA*,11,19,10.2,18,19.9,-,-
Trane,PUZ-HA36NHA5,PEAD-A36AA*,27,38,10.4,33,16.8,-,-
Trane,SUZ-KA15NA,SEZ-KD15NA,11.9,18,10,14.1,15.5,-,-
Weathermaker,38MBRBQ48AA3,40MBAAQ48XA3,36,55,9.5,48,16,-,-
Weathermaker,38MHRBQ12AA3,40MHHQ12---3,7.3,12,9.6,12,19.8,-,-
